title,published_date,category,rank,date_datetime
ENLIGHTENMENT NOW,2018-03-11,psychology,4,2018-03-11 17:34:46.978746
ASTROPHYSICS FOR PEOPLE IN A HURRY,2018-03-11,science,5,2018-03-11 17:34:46.978746
KILLERS OF THE FLOWER MOON,2018-03-11,true crime,6,2018-03-11 17:34:46.978746
ALL-AMERICAN MURDER,2018-03-11,true crime,7,2018-03-11 17:34:46.978746
EVERYTHING HAPPENS FOR A REASON,2018-03-11,biography & autobiography,8,2018-03-11 17:34:46.978746
THE FUTURE OF HUMANITY,2018-03-11,science,9,2018-03-11 17:34:46.978746
HORSE SOLDIERS,2018-03-11,biography & autobiography,10,2018-03-11 17:34:46.978746
LEONARDO DA VINCI,2018-03-11,art,11,2018-03-11 17:34:46.978746
THE LAST BLACK UNICORN,2018-03-11,humor,12,2018-03-11 17:34:46.978746
WHEN,2018-03-11,business & economics,13,2018-03-11 17:34:46.978746
BORN A CRIME,2018-03-11,biography & autobiography,14,2018-03-11 17:34:46.978746
ALL THE PIECES MATTER,2018-03-11,performing arts,15,2018-03-11 17:34:46.978746
FIRE AND FURY,2018-02-04,political science,1,2018-02-04 17:34:46.978746
IT'S EVEN WORSE THAN YOU THINK,2018-02-04,political science,2,2018-02-04 17:34:46.978746
HORSE SOLDIERS,2018-02-04,history,3,2018-02-04 17:34:46.978746
ASTROPHYSICS FOR PEOPLE IN A HURRY,2018-02-04,science,4,2018-02-04 17:34:46.978746
TRUMPOCRACY,2018-02-04,political science,5,2018-02-04 17:34:46.978746
LEONARDO DA VINCI,2018-02-04,art,6,2018-02-04 17:34:46.978746
TOGETHER WE RISE,2018-02-04,political science,7,2018-02-04 17:34:46.978746
HOW DEMOCRACIES DIE,2018-02-04,history,8,2018-02-04 17:34:46.978746
THE SQUARE AND THE TOWER,2018-02-04,history,9,2018-02-04 17:34:46.978746
THE LAST BLACK UNICORN,2018-02-04,humor,10,2018-02-04 17:34:46.978746
WHEN,2018-02-04,business & economics,11,2018-02-04 17:34:46.978746
GRANT,2018-02-04,biography & autobiography,12,2018-02-04 17:34:46.978746
HILLBILLY ELEGY,2018-02-04,social science,13,2018-02-04 17:34:46.978746
KILLERS OF THE FLOWER MOON,2018-02-04,true crime,14,2018-02-04 17:34:46.978746
HOME SWEET MURDER,2018-02-04,true crime,15,2018-02-04 17:34:46.978746
LEONARDO DA VINCI,2017-12-31,art,1,2017-12-31 17:34:46.978746
OBAMA,2017-12-31,photography,2,2017-12-31 17:34:46.978746
"PROMISE ME, DAD",2017-12-31,biography & autobiography,3,2017-12-31 17:34:46.978746
GRANT,2017-12-31,biography & autobiography,4,2017-12-31 17:34:46.978746
ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS,2017-12-31,history,5,2017-12-31 17:34:46.978746
ASTROPHYSICS FOR PEOPLE IN A HURRY,2017-12-31,science,6,2017-12-31 17:34:46.978746
BOBBY KENNEDY,2017-12-31,biography & autobiography,7,2017-12-31 17:34:46.978746
LET TRUMP BE TRUMP,2017-12-31,political science,8,2017-12-31 17:34:46.978746
KILLING ENGLAND,2017-12-31,history,9,2017-12-31 17:34:46.978746
KILLERS OF THE FLOWER MOON,2017-12-31,true crime,10,2017-12-31 17:34:46.978746
THE LAST BLACK UNICORN,2017-12-31,humor,11,2017-12-31 17:34:46.978746
WHAT HAPPENED,2017-12-31,biography & autobiography,12,2017-12-31 17:34:46.978746
SISTERS FIRST,2017-12-31,biography & autobiography,13,2017-12-31 17:34:46.978746
ENDURANCE,2017-12-31,biography & autobiography,14,2017-12-31 17:34:46.978746
HAMILTON: THE REVOLUTION,2017-12-31,performing arts,15,2017-12-31 17:34:46.978746
OBAMA,2017-11-26,photography,1,2017-11-26 17:34:46.978746
LEONARDO DA VINCI,2017-11-26,art,2,2017-11-26 17:34:46.978746
HACKS,2017-11-26,political science,3,2017-11-26 17:34:46.978746
BOBBY KENNEDY,2017-11-26,biography & autobiography,4,2017-11-26 17:34:46.978746
GRANT,2017-11-26,biography & autobiography,5,2017-11-26 17:34:46.978746
SISTERS FIRST,2017-11-26,biography & autobiography,6,2017-11-26 17:34:46.978746
ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS,2017-11-26,history,7,2017-11-26 17:34:46.978746
WHAT UNITES US,2017-11-26,political science,8,2017-11-26 17:34:46.978746
KILLING ENGLAND,2017-11-26,history,9,2017-11-26 17:34:46.978746
PLAYING WITH FIRE,2017-11-26,biography & autobiography,10,2017-11-26 17:34:46.978746
WE WERE EIGHT YEARS IN POWER,2017-11-26,biography & autobiography,11,2017-11-26 17:34:46.978746
WHAT HAPPENED,2017-11-26,biography & autobiography,12,2017-11-26 17:34:46.978746
ENDURANCE,2017-11-26,biography & autobiography,13,2017-11-26 17:34:46.978746
YOU CAN'T SPELL AMERICA WITHOUT ME,2017-11-26,humor,14,2017-11-26 17:34:46.978746
GOD,2017-11-26,religion,15,2017-11-26 17:34:46.978746
KILLING ENGLAND,2017-10-22,history,1,2017-10-22 17:34:46.978746
WE WERE EIGHT YEARS IN POWER,2017-10-22,biography & autobiography,2,2017-10-22 17:34:46.978746
WHAT HAPPENED,2017-10-22,biography & autobiography,3,2017-10-22 17:34:46.978746
THE DANGEROUS CASE OF DONALD TRUMP,2017-10-22,biography & autobiography,4,2017-10-22 17:34:46.978746
ASTROPHYSICS FOR PEOPLE IN A HURRY,2017-10-22,science,5,2017-10-22 17:34:46.978746
THE FOUR,2017-10-22,business & economics,6,2017-10-22 17:34:46.978746
UNBELIEVABLE,2017-10-22,political science,7,2017-10-22 17:34:46.978746
MARTIN LUTHER,2017-10-22,biography & autobiography,8,2017-10-22 17:34:46.978746
RECOVERY,2017-10-22,biography & autobiography,9,2017-10-22 17:34:46.978746
HILLBILLY ELEGY,2017-10-22,social science,10,2017-10-22 17:34:46.978746
THE GLASS CASTLE,2017-10-22,biography & autobiography,11,2017-10-22 17:34:46.978746
FROM HERE TO ETERNITY,2017-10-22,biography & autobiography,12,2017-10-22 17:34:46.978746
THE PARADIGM,2017-10-22,religion,13,2017-10-22 17:34:46.978746
DARING TO HOPE,2017-10-22,biography & autobiography,14,2017-10-22 17:34:46.978746
THE AUTOBIOGRAPHY OF GUCCI MANE,2017-10-22,biography & autobiography,15,2017-10-22 17:34:46.978746
PORTRAITS OF COURAGE,2017-03-26,biography & autobiography,1,2017-03-26 17:34:46.978746
HILLBILLY ELEGY,2017-03-26,social science,2,2017-03-26 17:34:46.978746
HIDDEN FIGURES,2017-03-26,history,3,2017-03-26 17:34:46.978746
KILLING THE RISING SUN,2017-03-26,history,4,2017-03-26 17:34:46.978746
THE ZOOKEEPER’S WIFE,2017-03-26,history,5,2017-03-26 17:34:46.978746
THE LOST CITY OF THE MONKEY GOD,2017-03-26,history,6,2017-03-26 17:34:46.978746
WHEN BREATH BECOMES AIR,2017-03-26,biography & autobiography,7,2017-03-26 17:34:46.978746
ON TYRANNY,2017-03-26,political science,8,2017-03-26 17:34:46.978746
BIG AGENDA,2017-03-26,political science,9,2017-03-26 17:34:46.978746
DEAR IJEAWELE,2017-03-26,political science,10,2017-03-26 17:34:46.978746
THE STRANGER IN THE WOODS,2017-03-26,nature,11,2017-03-26 17:34:46.978746
BLITZED,2017-03-26,anti-communist movements,12,2017-03-26 17:34:46.978746
THE MAGNOLIA STORY,2017-03-26,biography & autobiography,13,2017-03-26 17:34:46.978746
THANK YOU FOR BEING LATE,2017-03-26,political science,14,2017-03-26 17:34:46.978746
BORN A CRIME,2017-03-26,biography & autobiography,15,2017-03-26 17:34:46.978746
HIDDEN FIGURES,2017-02-19,history,1,2017-02-19 17:34:46.978746
HILLBILLY ELEGY,2017-02-19,social science,2,2017-02-19 17:34:46.978746
KILLING THE RISING SUN,2017-02-19,history,3,2017-02-19 17:34:46.978746
THREE DAYS IN JANUARY,2017-02-19,biography & autobiography,4,2017-02-19 17:34:46.978746
THE MAGNOLIA STORY,2017-02-19,biography & autobiography,5,2017-02-19 17:34:46.978746
THE LOST CITY OF THE MONKEY GOD,2017-02-19,history,6,2017-02-19 17:34:46.978746
TEARS WE CANNOT STOP,2017-02-19,social science,7,2017-02-19 17:34:46.978746
ALEXANDER HAMILTON,2017-02-19,biography & autobiography,8,2017-02-19 17:34:46.978746
WHEN BREATH BECOMES AIR,2017-02-19,biography & autobiography,9,2017-02-19 17:34:46.978746
THE BOOK OF JOY,2017-02-19,self-help,10,2017-02-19 17:34:46.978746
THANK YOU FOR BEING LATE,2017-02-19,political science,11,2017-02-19 17:34:46.978746
THE UNDOING PROJECT,2017-02-19,science,12,2017-02-19 17:34:46.978746
BORN A CRIME,2017-02-19,biography & autobiography,13,2017-02-19 17:34:46.978746
THE BLOOD OF EMMETT TILL,2017-02-19,biography & autobiography,14,2017-02-19 17:34:46.978746
HOW TO MURDER YOUR LIFE,2017-02-19,biography & autobiography,15,2017-02-19 17:34:46.978746
THE PRINCESS DIARIST,2017-01-15,humor,1,2017-01-15 17:34:46.978746
HILLBILLY ELEGY,2017-01-15,social science,2,2017-01-15 17:34:46.978746
WISHFUL DRINKING,2017-01-15,biography & autobiography,3,2017-01-15 17:34:46.978746
KILLING THE RISING SUN,2017-01-15,history,4,2017-01-15 17:34:46.978746
THE UNDOING PROJECT,2017-01-15,science,5,2017-01-15 17:34:46.978746
HIDDEN FIGURES,2017-01-15,history,6,2017-01-15 17:34:46.978746
THE BOOK OF JOY,2017-01-15,self-help,7,2017-01-15 17:34:46.978746
THE MAGNOLIA STORY,2017-01-15,biography & autobiography,8,2017-01-15 17:34:46.978746
ALEXANDER HAMILTON,2017-01-15,biography & autobiography,9,2017-01-15 17:34:46.978746
WHEN BREATH BECOMES AIR,2017-01-15,biography & autobiography,10,2017-01-15 17:34:46.978746
THE DAILY SHOW (THE BOOK),2017-01-15,performing arts,11,2017-01-15 17:34:46.978746
BORN A CRIME,2017-01-15,biography & autobiography,12,2017-01-15 17:34:46.978746
BORN TO RUN,2017-01-15,biography & autobiography,13,2017-01-15 17:34:46.978746
TALKING AS FAST AS I CAN,2017-01-15,biography & autobiography,14,2017-01-15 17:34:46.978746
EVICTED,2017-01-15,social science,15,2017-01-15 17:34:46.978746
THANK YOU FOR BEING LATE,2017-01-15,political science,16,2017-01-15 17:34:46.978746
SETTLE FOR MORE,2017-01-15,biography & autobiography,17,2017-01-15 17:34:46.978746
LAB GIRL,2017-01-15,biography & autobiography,18,2017-01-15 17:34:46.978746
DARK MONEY,2017-01-15,political science,19,2017-01-15 17:34:46.978746
THE GIRL WITH THE LOWER BACK TATTOO,2017-01-15,biography & autobiography,20,2017-01-15 17:34:46.978746
KILLING THE RISING SUN,2016-12-11,history,1,2016-12-11 17:34:46.978746
SETTLE FOR MORE,2016-12-11,biography & autobiography,2,2016-12-11 17:34:46.978746
THE MAGNOLIA STORY,2016-12-11,biography & autobiography,3,2016-12-11 17:34:46.978746
OUR REVOLUTION,2016-12-11,biography & autobiography,4,2016-12-11 17:34:46.978746
THANK YOU FOR BEING LATE,2016-12-11,political science,5,2016-12-11 17:34:46.978746
HILLBILLY ELEGY,2016-12-11,social science,6,2016-12-11 17:34:46.978746
SCRAPPY LITTLE NOBODY,2016-12-11,biography & autobiography,7,2016-12-11 17:34:46.978746
BORN TO RUN,2016-12-11,biography & autobiography,8,2016-12-11 17:34:46.978746
HAMILTON: THE REVOLUTION,2016-12-11,performing arts,9,2016-12-11 17:34:46.978746
SUPERFICIAL,2016-12-11,biography & autobiography,10,2016-12-11 17:34:46.978746
BORN A CRIME,2016-12-11,biography & autobiography,11,2016-12-11 17:34:46.978746
THE DAILY SHOW (THE BOOK),2016-12-11,performing arts,12,2016-12-11 17:34:46.978746
ALEXANDER HAMILTON,2016-12-11,biography & autobiography,13,2016-12-11 17:34:46.978746
THE GIRL WITH THE LOWER BACK TATTOO,2016-12-11,biography & autobiography,14,2016-12-11 17:34:46.978746
THOMAS JEFFERSON AND THE TRIPOLI PIRATES,2016-12-11,history,15,2016-12-11 17:34:46.978746
KATHY GRIFFIN'S CELEBRITY RUN-INS,2016-12-11,humor,16,2016-12-11 17:34:46.978746
ALL THE GALLANT MEN,2016-12-11,biography & autobiography,17,2016-12-11 17:34:46.978746
THE BOOK OF JOY,2016-12-11,self-help,18,2016-12-11 17:34:46.978746
SHAKEN,2016-12-11,psychology,19,2016-12-11 17:34:46.978746
THE PRINCESS DIARIST,2016-12-11,humor,20,2016-12-11 17:34:46.978746
THE MAGNOLIA STORY,2016-11-06,biography & autobiography,1,2016-11-06 17:34:46.978746
KILLING THE RISING SUN,2016-11-06,history,2,2016-11-06 17:34:46.978746
BORN TO RUN,2016-11-06,biography & autobiography,3,2016-11-06 17:34:46.978746
HILLBILLY ELEGY,2016-11-06,social science,4,2016-11-06 17:34:46.978746
BUFFERING,2016-11-06,biography & autobiography,5,2016-11-06 17:34:46.978746
FILTHY RICH,2016-11-06,true crime,6,2016-11-06 17:34:46.978746
ALEXANDER HAMILTON,2016-11-06,biography & autobiography,7,2016-11-06 17:34:46.978746
LOVE WARRIOR,2016-11-06,biography & autobiography,8,2016-11-06 17:34:46.978746
THOMAS JEFFERSON AND THE TRIPOLI PIRATES,2016-11-06,history,9,2016-11-06 17:34:46.978746
A LIFE IN PARTS,2016-11-06,biography & autobiography,10,2016-11-06 17:34:46.978746
THE GIRL WITH THE LOWER BACK TATTOO,2016-11-06,biography & autobiography,11,2016-11-06 17:34:46.978746
HERO OF THE EMPIRE,2016-11-06,"south african war, 1899-1902",12,2016-11-06 17:34:46.978746
WHEN BREATH BECOMES AIR,2016-11-06,biography & autobiography,13,2016-11-06 17:34:46.978746
UPSTREAM,2016-11-06,literary collections,14,2016-11-06 17:34:46.978746
A TORCH KEPT LIT,2016-11-06,biography & autobiography,15,2016-11-06 17:34:46.978746
BETTER THAN NEW,2016-11-06,biography & autobiography,16,2016-11-06 17:34:46.978746
THE HIDDEN LIFE OF TREES,2016-11-06,nature,17,2016-11-06 17:34:46.978746
A LIFE WELL PLAYED,2016-11-06,biography & autobiography,18,2016-11-06 17:34:46.978746
HAMILTON: THE REVOLUTION,2016-11-06,performing arts,19,2016-11-06 17:34:46.978746
GUILTY AS SIN,2016-11-06,political science,20,2016-11-06 17:34:46.978746
KILLING THE RISING SUN,2016-10-02,history,1,2016-10-02 17:34:46.978746
LOVE WARRIOR,2016-10-02,biography & autobiography,2,2016-10-02 17:34:46.978746
BETWEEN BREATHS,2016-10-02,biography & autobiography,3,2016-10-02 17:34:46.978746
THE GIRL WITH THE LOWER BACK TATTOO,2016-10-02,biography & autobiography,4,2016-10-02 17:34:46.978746
HILLBILLY ELEGY,2016-10-02,social science,5,2016-10-02 17:34:46.978746
SCORCHED EARTH,2016-10-02,political science,6,2016-10-02 17:34:46.978746
THE HIDDEN LIFE OF TREES,2016-10-02,nature,7,2016-10-02 17:34:46.978746
IN SUCH GOOD COMPANY,2016-10-02,biography & autobiography,8,2016-10-02 17:34:46.978746
THE UPSIDE OF INEQUALITY,2016-10-02,business & economics,9,2016-10-02 17:34:46.978746
FORWARD,2016-10-02,biography & autobiography,10,2016-10-02 17:34:46.978746
WHEN BREATH BECOMES AIR,2016-10-02,biography & autobiography,11,2016-10-02 17:34:46.978746
SULLY,2016-10-02,biography & autobiography,12,2016-10-02 17:34:46.978746
GOOD VIBRATIONS,2016-10-02,biography & autobiography,13,2016-10-02 17:34:46.978746
ALEXANDER HAMILTON,2016-10-02,biography & autobiography,14,2016-10-02 17:34:46.978746
A PERFECT SCORE,2016-10-02,cooking,15,2016-10-02 17:34:46.978746
THE RED BANDANNA,2016-10-02,biography & autobiography,16,2016-10-02 17:34:46.978746
THE YEAR OF VOTING DANGEROUSLY,2016-10-02,political science,17,2016-10-02 17:34:46.978746
BETWEEN THE WORLD AND ME,2016-10-02,biography & autobiography,18,2016-10-02 17:34:46.978746
I'M JUDGING YOU,2016-10-02,biography & autobiography,19,2016-10-02 17:34:46.978746
THE BOYS IN THE BOAT,2016-10-02,sports & recreation,20,2016-10-02 17:34:46.978746
HILLBILLY ELEGY,2016-08-28,social science,1,2016-08-28 17:34:46.978746
WHEN BREATH BECOMES AIR,2016-08-28,biography & autobiography,2,2016-08-28 17:34:46.978746
THE BOYS IN THE BOAT,2016-08-28,"olympic games (11th : 1936 : berlin, germany)",3,2016-08-28 17:34:46.978746
HILLARY'S AMERICA,2016-08-28,political science,4,2016-08-28 17:34:46.978746
ARMAGEDDON,2016-08-28,political science,5,2016-08-28 17:34:46.978746
CRISIS OF CHARACTER,2016-08-28,political science,6,2016-08-28 17:34:46.978746
ALEXANDER HAMILTON,2016-08-28,biography & autobiography,7,2016-08-28 17:34:46.978746
IT'S NOT OKAY,2016-08-28,biography & autobiography,8,2016-08-28 17:34:46.978746
LIARS,2016-08-28,political science,9,2016-08-28 17:34:46.978746
AMERICAN HEIRESS,2016-08-28,biography & autobiography,10,2016-08-28 17:34:46.978746
POWERHOUSE,2016-08-28,business & economics,11,2016-08-28 17:34:46.978746
BETWEEN THE WORLD AND ME,2016-08-28,biography & autobiography,12,2016-08-28 17:34:46.978746
HAMILTON: THE REVOLUTION,2016-08-28,performing arts,13,2016-08-28 17:34:46.978746
THE MAKING OF DONALD TRUMP,2016-08-28,biography & autobiography,14,2016-08-28 17:34:46.978746
ADNAN'S STORY,2016-08-28,law,15,2016-08-28 17:34:46.978746
GRIT,2016-08-28,business & economics,17,2016-08-28 17:34:46.978746
TRIBE,2016-08-28,social science,18,2016-08-28 17:34:46.978746
WHITE TRASH,2016-08-28,history,19,2016-08-28 17:34:46.978746
HER AGAIN,2016-08-28,biography & autobiography,20,2016-08-28 17:34:46.978746
CRISIS OF CHARACTER,2016-07-24,political science,1,2016-07-24 17:34:46.978746
ALEXANDER HAMILTON,2016-07-24,biography & autobiography,2,2016-07-24 17:34:46.978746
WHEN BREATH BECOMES AIR,2016-07-24,biography & autobiography,3,2016-07-24 17:34:46.978746
BILL O'REILLY'S LEGENDS AND LIES: THE PATRIOTS,2016-07-24,biography & autobiography,4,2016-07-24 17:34:46.978746
ESCAPE,2016-07-24,biography & autobiography,5,2016-07-24 17:34:46.978746
HAMILTON: THE REVOLUTION,2016-07-24,performing arts,6,2016-07-24 17:34:46.978746
WAKE UP AMERICA,2016-07-24,biography & autobiography,7,2016-07-24 17:34:46.978746
BETWEEN THE WORLD AND ME,2016-07-24,biography & autobiography,8,2016-07-24 17:34:46.978746
WHITE TRASH,2016-07-24,history,9,2016-07-24 17:34:46.978746
THE BOYS IN THE BOAT,2016-07-24,sports & recreation,10,2016-07-24 17:34:46.978746
GRIT,2016-07-24,business & economics,11,2016-07-24 17:34:46.978746
SEINFELDIA,2016-07-24,performing arts,12,2016-07-24 17:34:46.978746
BUSH,2016-07-24,biography & autobiography,14,2016-07-24 17:34:46.978746
CHAOS MONKEYS,2016-07-24,business & economics,15,2016-07-24 17:34:46.978746
THE NEW JIM CROW,2016-07-24,social science,16,2016-07-24 17:34:46.978746
THE WAR ON COPS,2016-07-24,political science,17,2016-07-24 17:34:46.978746
THE RAINBOW COMES AND GOES,2016-07-24,biography & autobiography,18,2016-07-24 17:34:46.978746
BUT WHAT IF WE'RE WRONG?,2016-07-24,biography & autobiography,19,2016-07-24 17:34:46.978746
GRUNT,2016-07-24,science,20,2016-07-24 17:34:46.978746
BILL O'REILLY'S LEGENDS AND LIES: THE PATRIOTS,2016-06-19,biography & autobiography,1,2016-06-19 17:34:46.978746
ALEXANDER HAMILTON,2016-06-19,biography & autobiography,2,2016-06-19 17:34:46.978746
WHEN BREATH BECOMES AIR,2016-06-19,biography & autobiography,3,2016-06-19 17:34:46.978746
GRIT,2016-06-19,business & economics,4,2016-06-19 17:34:46.978746
THE GENE,2016-06-19,history,5,2016-06-19 17:34:46.978746
HAMILTON: THE REVOLUTION,2016-06-19,performing arts,6,2016-06-19 17:34:46.978746
TRIBE,2016-06-19,social science,7,2016-06-19 17:34:46.978746
THE RAINBOW COMES AND GOES,2016-06-19,biography & autobiography,8,2016-06-19 17:34:46.978746
THE BOYS IN THE BOAT,2016-06-19,sports & recreation,9,2016-06-19 17:34:46.978746
SHOE DOG,2016-06-19,biography & autobiography,10,2016-06-19 17:34:46.978746
VALIANT AMBITION,2016-06-19,biography & autobiography,11,2016-06-19 17:34:46.978746
THE WRIGHT BROTHERS,2016-06-19,biography & autobiography,12,2016-06-19 17:34:46.978746
FIVE PRESIDENTS,2016-06-19,biography & autobiography,13,2016-06-19 17:34:46.978746
BETWEEN THE WORLD AND ME,2016-06-19,biography & autobiography,14,2016-06-19 17:34:46.978746
THE VIEW FROM THE CHEAP SEATS,2016-06-19,literary collections,15,2016-06-19 17:34:46.978746
DEAD WAKE,2016-06-19,history,16,2016-06-19 17:34:46.978746
I AM MALALA,2016-06-19,biography & autobiography,18,2016-06-19 17:34:46.978746
SAPIENS,2016-06-19,science,19,2016-06-19 17:34:46.978746
THE WORLD ACCORDING TO STAR WARS,2016-06-19,social science,20,2016-06-19 17:34:46.978746
THE RAINBOW COMES AND GOES,2016-05-15,biography & autobiography,1,2016-05-15 17:34:46.978746
THE SLEEP REVOLUTION,2016-05-15,health & fitness,2,2016-05-15 17:34:46.978746
WHEN BREATH BECOMES AIR,2016-05-15,biography & autobiography,3,2016-05-15 17:34:46.978746
SHOE DOG,2016-05-15,biography & autobiography,4,2016-05-15 17:34:46.978746
ALEXANDER HAMILTON,2016-05-15,biography & autobiography,5,2016-05-15 17:34:46.978746
THE BOYS IN THE BOAT,2016-05-15,sports & recreation,6,2016-05-15 17:34:46.978746
DEAD WAKE,2016-05-15,history,7,2016-05-15 17:34:46.978746
THE THIRD WAVE,2016-05-15,biography & autobiography,8,2016-05-15 17:34:46.978746
ELON MUSK,2016-05-15,technology & engineering,9,2016-05-15 17:34:46.978746
OLD AGE,2016-05-15,literary collections,10,2016-05-15 17:34:46.978746
SEVEN BRIEF LESSONS ON PHYSICS,2016-05-15,science,12,2016-05-15 17:34:46.978746
BETWEEN THE WORLD AND ME,2016-05-15,biography & autobiography,13,2016-05-15 17:34:46.978746
SMARTER FASTER BETTER,2016-05-15,business & economics,14,2016-05-15 17:34:46.978746
FIRST WOMEN,2016-05-15,history,15,2016-05-15 17:34:46.978746
BECOMING GRANDMA,2016-05-15,biography & autobiography,16,2016-05-15 17:34:46.978746
ARE WE SMART ENOUGH TO KNOW HOW SMART ANIMALS ARE?,2016-05-15,science,17,2016-05-15 17:34:46.978746
THE LOST PAINTING,2016-05-15,art,18,2016-05-15 17:34:46.978746
BEING MORTAL,2016-05-15,family & relationships,19,2016-05-15 17:34:46.978746
HER AGAIN,2016-05-15,biography & autobiography,20,2016-05-15 17:34:46.978746
WHEN BREATH BECOMES AIR,2016-04-10,biography & autobiography,1,2016-03-06 17:34:46.978746
MIRACLES FROM HEAVEN,2016-04-10,biography & autobiography,2,2016-03-06 17:34:46.978746
SEVEN BRIEF LESSONS ON PHYSICS,2016-04-10,science,3,2016-03-06 17:34:46.978746
DEAD WAKE,2016-04-10,history,4,2016-03-06 17:34:46.978746
FROZEN IN TIME,2016-04-10,history,5,2016-03-06 17:34:46.978746
ALEXANDER HAMILTON,2016-04-10,biography & autobiography,6,2016-03-06 17:34:46.978746
SMARTER FASTER BETTER,2016-04-10,business & economics,7,2016-03-06 17:34:46.978746
BETWEEN THE WORLD AND ME,2016-04-10,biography & autobiography,8,2016-03-06 17:34:46.978746
THE BOYS IN THE BOAT,2016-04-10,sports & recreation,9,2016-03-06 17:34:46.978746
DARK MONEY,2016-04-10,billionaires,10,2016-03-06 17:34:46.978746
ROSEMARY,2016-04-10,biography & autobiography,11,2016-03-06 17:34:46.978746
THE IMMORTAL IRISHMAN,2016-04-10,biography & autobiography,12,2016-03-06 17:34:46.978746
THE BIG SHORT,2016-04-10,business & economics,13,2016-03-06 17:34:46.978746
BEING MORTAL,2016-04-10,family & relationships,14,2016-03-06 17:34:46.978746
THE SLEEPWALKERS,2016-04-10,history,15,2016-03-06 17:34:46.978746
H IS FOR HAWK,2016-04-10,nature,16,2016-03-06 17:34:46.978746
I AM MALALA,2016-04-10,biography & autobiography,17,2016-03-06 17:34:46.978746
THE NAME OF GOD IS MERCY,2016-04-10,religion,18,2016-03-06 17:34:46.978746
NOTES FROM A SMALL ISLAND,2016-04-10,travel,19,2016-03-06 17:34:46.978746
THE BOY WHO HARNESSED THE WIND,2016-04-10,biography & autobiography,20,2016-03-06 17:34:46.978746
WHEN BREATH BECOMES AIR,2016-04-10,biography & autobiography,1,2016-03-06 17:34:46.978746
MIRACLES FROM HEAVEN,2016-04-10,biography & autobiography,2,2016-03-06 17:34:46.978746
SEVEN BRIEF LESSONS ON PHYSICS,2016-04-10,science,3,2016-03-06 17:34:46.978746
DEAD WAKE,2016-04-10,history,4,2016-03-06 17:34:46.978746
FROZEN IN TIME,2016-04-10,history,5,2016-03-06 17:34:46.978746
ALEXANDER HAMILTON,2016-04-10,biography & autobiography,6,2016-03-06 17:34:46.978746
SMARTER FASTER BETTER,2016-04-10,business & economics,7,2016-03-06 17:34:46.978746
BETWEEN THE WORLD AND ME,2016-04-10,biography & autobiography,8,2016-03-06 17:34:46.978746
THE BOYS IN THE BOAT,2016-04-10,sports & recreation,9,2016-03-06 17:34:46.978746
DARK MONEY,2016-04-10,billionaires,10,2016-03-06 17:34:46.978746
ROSEMARY,2016-04-10,biography & autobiography,11,2016-03-06 17:34:46.978746
THE IMMORTAL IRISHMAN,2016-04-10,biography & autobiography,12,2016-03-06 17:34:46.978746
THE BIG SHORT,2016-04-10,business & economics,13,2016-03-06 17:34:46.978746
BEING MORTAL,2016-04-10,family & relationships,14,2016-03-06 17:34:46.978746
THE SLEEPWALKERS,2016-04-10,history,15,2016-03-06 17:34:46.978746
H IS FOR HAWK,2016-04-10,nature,16,2016-03-06 17:34:46.978746
I AM MALALA,2016-04-10,biography & autobiography,17,2016-03-06 17:34:46.978746
THE NAME OF GOD IS MERCY,2016-04-10,religion,18,2016-03-06 17:34:46.978746
NOTES FROM A SMALL ISLAND,2016-04-10,travel,19,2016-03-06 17:34:46.978746
THE BOY WHO HARNESSED THE WIND,2016-04-10,biography & autobiography,20,2016-03-06 17:34:46.978746
WHEN BREATH BECOMES AIR,2016-01-31,biography & autobiography,1,2016-01-31 17:34:46.978746
13 HOURS,2016-01-31,history,2,2016-01-31 17:34:46.978746
THE NAME OF GOD IS MERCY,2016-01-31,religion,3,2016-01-31 17:34:46.978746
THE RESIDENCE,2016-01-31,history,4,2016-01-31 17:34:46.978746
BETWEEN THE WORLD AND ME,2016-01-31,biography & autobiography,5,2016-01-31 17:34:46.978746
THE BIG SHORT,2016-01-31,business & economics,6,2016-01-31 17:34:46.978746
ALEXANDER HAMILTON,2016-01-31,biography & autobiography,7,2016-01-31 17:34:46.978746
KILLING REAGAN,2016-01-31,biography & autobiography,8,2016-01-31 17:34:46.978746
THOMAS JEFFERSON AND THE TRIPOLI PIRATES,2016-01-31,biography & autobiography,9,2016-01-31 17:34:46.978746
THE BOYS IN THE BOAT,2016-01-31,sports & recreation,10,2016-01-31 17:34:46.978746
THE DEVIL IN THE WHITE CITY,2016-01-31,history,11,2016-01-31 17:34:46.978746
BEING MORTAL,2016-01-31,family & relationships,12,2016-01-31 17:34:46.978746
I AM MALALA,2016-01-31,biography & autobiography,13,2016-01-31 17:34:46.978746
MY LIFE ON THE ROAD,2016-01-31,biography & autobiography,14,2016-01-31 17:34:46.978746
MODERN ROMANCE,2016-01-31,humor,15,2016-01-31 17:34:46.978746
A THOUSAND DAYS IN VENICE,2016-01-31,biography & autobiography,16,2016-01-31 17:34:46.978746
YES PLEASE,2016-01-31,humor,17,2016-01-31 17:34:46.978746
THE WRIGHT BROTHERS,2016-01-31,biography & autobiography,18,2016-01-31 17:34:46.978746
