bookID,title,authors,average_rating,isbn,isbn13,category
19156,Could Do Better: Why Children Underachieve and What to Do About It,Harvey P. Mandel/Sander I. Marcus/Loral Dean,3.8,047115847X,9.78047E+12,Psychology
7613,Animal Farm,George Orwell/Boris Grabnar/Peter Škerl,3.93,0452284244,9.78045E+12,Juvenile Fiction
18683,Meeting God at Every Turn,Catherine Marshall,4.36,080079298X,9.7808E+12,Christian biography
36421,The Star-Spangled Banner (Symbols of America),Debra Hess,4,0761417109,9.78076E+12,Juvenile Nonfiction
14913,The Complete Novels of Jane Austen  Vol 1: Sense & Sensibility/Pride & Prejudice/Mansfield Park,Jane Austen,4.53,0679600264,9.78068E+12,History
1894,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,4,1400032806,9.7814E+12,Religion
17646,The Tent,Margaret Atwood,3.7,0385516681,9.78039E+12,Fiction
5071,Battle Angel Alita - Last Order : Guilty Angel  Vol. 07,Yukito Kishiro,4.12,1421504332,9.78142E+12,
1459,History of the Peloponnesian War  Bk. 7-8,Thucydides/C.F. Smith,4.29,0674991877,9.78067E+12,Greece
10165,Anatomy of Love: A Natural History of Mating  Marriage  and Why We Stray,Helen Fisher,3.94,0449908976,9.78045E+12,Social Science
5975,The Fall of a Sparrow,Robert Hellenga,3.69,0684850273,9.78068E+12,Fiction
11665,Conversations with John Updike,James Plath,3.57,0878057005,9.78088E+12,Literary Criticism
25853,The Drifting Classroom  Vol. 2 (Drifting Classroom),Kazuo Umezu,3.98,1421507234,9.78142E+12,African Americans
28538,Journey Into the Void (Sovereign Stone  #3),Margaret Weis/Tracy Hickman,3.86,0061020591,9.78006E+12,
4584,Everything Is Illuminated,Jonathan Safran Foer,3.9,0141008253,9.78014E+12,Fiction
18273,Beyond Good and Evil: Prelude to a Philosophy of the Future,Friedrich Nietzsche/Walter Kaufmann,4.01,0394703375,9.78039E+12,Philosophy
40951,A History of the Life Sciences,Lois N. Magner/Magner,4.53,0824708245,9.78082E+12,Union catalogs
42261,Stylepedia: A Guide to Graphic Design Mannerisms  Quirks  and Conceits,Steven Heller/Louise Fili,4.06,0811833461,9.78081E+12,
16728,The Organized Student: Teaching Children the Skills for Success in School and Beyond,Donna Goldberg/Jennifer Zwiebel,3.82,0743270207,9.78074E+12,Family & Relationships
9550,In Praise of Shadows,Jun'ichirō Tanizaki/Thomas J. Harper/Edward G. Seidensticker,4.09,0099283573,9.7801E+12,Business & Economics
16343,The Mysterious Affair at Styles (Hercule Poirot  #1),Agatha Christie,3.99,0646418432,9.78065E+12,Fiction
9030,The Devil in the White City: Murder  Magic and Madness at the Fair that Changed America,Erik Larson,3.99,0553813536,9.78055E+12,History
297,Treasure Island,Robert Louis Stevenson,3.83,1416500294,9.78142E+12,
30362,Charade,Sandra Brown,3.94,0446601853,9.78045E+12,Fiction
16888,John James Audubon,Richard Rhodes,4.13,037571393X,9.78038E+12,Biography & Autobiography
27588,Acts of Faith,Philip Caputo,3.94,0375725970,9.78038E+12,Fiction
29746,When She Was Good,Philip Roth,3.53,0679759255,9.78068E+12,Fiction
25841,The Road To War  1933 39,Andrew      Hunt,0,0340774770,9.78034E+12,
6795,The Cloud Atlas,Liam Callanan,3.38,0385336950,9.78039E+12,Fiction
23336,J.D. Salinger's Catcher in the Rye (Modern Critical Interpretations),Harold Bloom,3.58,0791056643,9.78079E+12,"Caulfield, Holden (Fictitious character)"
1438,Shakespeare's Hamlet,William Shakespeare/Terri Mategrano,4.02,0764585681,9.78076E+12,Drama
38747,Roughing It,Mark Twain/Henry B. Wonham,3.89,0743436504,9.78074E+12,Juvenile Fiction
15973,Middle Age: A Romance,Joyce Carol Oates,3.58,0060934905,9.78006E+12,Fiction
29446,Baghdad Without a Map and Other Misadventures in Arabia,Tony Horwitz,3.98,0452267455,9.78045E+12,Travel
